benign_test_size,compile_ok,condition_clause_count,condition_length,f1,family,fpr_benign,off_target_rate,other_test_size,precision,recall,rule_bytes,rule_complexity,rule_specificity,rule_string_count,scan_error_count,scan_seconds,status,target_test_size,tpr_target
31,True,1,9,0.363636,7ev3n,0.0,0.017426,746,0.235294,0.8,930,21,0.982574,20,0,2.988594,ok,5,0.8
31,True,1,9,0.0,agenttesla,0.0,0.0,748,0.0,0.0,847,16,1.0,15,0,1.288195,ok,3,0.0
31,True,5,181,0.444444,andromeda,0.0,0.0,744,1.0,0.285714,1039,19,1.0,14,0,1.347473,ok,7,0.285714
31,True,1,9,0.5,arkei,0.0,0.0,748,1.0,0.333333,1162,16,1.0,15,0,1.124772,ok,3,0.333333
31,True,5,164,0.285714,artradownloader,0.0,0.0,739,1.0,0.166667,604,11,1.0,6,0,1.389566,ok,12,0.166667
31,True,1,9,0.444444,astaroth,0.0,0.012064,746,0.307692,0.8,275,3,0.987936,2,0,0.989789,ok,5,0.8
31,True,1,9,0.4,atmosphere,0.0,0.00267,749,0.333333,0.5,1310,13,0.99733,12,0,1.190811,ok,2,0.5
31,True,1,9,0.0,atmripper,0.0,0.0,748,0.0,0.0,903,19,1.0,18,0,1.346734,ok,3,0.0
31,True,1,9,0.8,atmspitter,0.0,0.0,748,1.0,0.666667,1651,13,1.0,12,0,1.198053,ok,3,0.666667
31,True,4,118,0.5,attor,0.0,0.0,748,1.0,0.333333,805,16,1.0,12,0,1.23631,ok,3,0.333333
31,True,7,300,0.090909,azorult,0.0,0.0,730,1.0,0.047619,864,17,1.0,10,0,1.377428,ok,21,0.047619
31,True,1,9,0.0,balkandoor,0.0,0.0,749,0.0,0.0,413,7,1.0,6,0,1.104693,ok,2,0.0
31,True,5,201,0.727273,bandook,0.0,0.004016,747,0.571429,1.0,736,11,0.995984,6,0,1.296692,ok,4,1.0
31,True,5,194,0.545455,bazarbackdoor,0.0,0.0,743,1.0,0.375,908,19,1.0,14,0,1.478453,ok,8,0.375
31,True,5,189,0.5,bazarloader,0.0,0.0,745,1.0,0.333333,782,15,1.0,10,0,1.360105,ok,6,0.333333
31,True,4,137,1.0,bergard,0.0,0.0,748,1.0,1.0,940,17,1.0,13,0,1.452364,ok,3,1.0
31,True,4,140,0.0,buer,0.0,0.0,748,0.0,0.0,961,21,1.0,17,0,1.376918,ok,3,0.0
31,True,1,11,0.444444,cannon,0.0,0.004016,747,0.4,0.5,225,2,0.995984,1,0,0.973347,ok,4,0.5
,False,0,0,0.0,carbanak,0.0,0.0,,0.0,0.0,0,0,1.0,0,0,0.0,missing_rule,,0.0
31,True,5,199,1.0,catchamas,0.0,0.0,748,1.0,1.0,904,17,1.0,12,0,1.542311,ok,3,1.0
31,True,1,9,0.545455,centerpos,0.0,0.006684,748,0.375,1.0,914,17,0.993316,16,0,1.295377,ok,3,1.0
,False,0,0,0.0,cerber,0.0,0.0,,0.0,0.0,0,0,1.0,0,0,0.0,missing_rule,,0.0
31,True,1,9,0.333333,clop,0.0,0.006702,746,0.285714,0.4,352,3,0.993298,2,0,1.013408,ok,5,0.4
